DATE,price,market_cap
5/1/2013,139,1542820000
5/2/2013,116.38,1292190000
5/3/2013,106.25,1180070000
5/4/2013,98.1,1089890000
5/5/2013,112.9,1254760000
5/6/2013,115.98,1289470000
5/7/2013,112.25,1248470000
5/8/2013,109.6,1219450000
5/9/2013,113.2,1259980000
5/10/2013,112.8,1255970000
5/11/2013,117.7,1311050000
5/12/2013,115.64,1288630000
5/13/2013,114.82,1279980000
5/14/2013,117.98,1315720000
5/15/2013,111.4,1242760000
5/16/2013,114.22,1274620000
5/17/2013,118.21,1319590000
5/18/2013,123.5,1379140000
5/19/2013,123.21,1376370000
5/20/2013,122.5,1368910000
5/21/2013,122.02,1363940000
5/22/2013,122.89,1374130000
5/23/2013,123.8,1384780000
5/24/2013,126.3,1413300000
5/25/2013,133.1,1489950000
5/26/2013,131.99,1478030000
5/27/2013,133.5,1495520000
5/28/2013,129.77,1454310000
5/29/2013,129,1446190000
5/30/2013,132.25,1483180000
5/31/2013,128.8,1445050000
6/1/2013,128.81,1445800000
6/2/2013,129.3,1451930000
6/3/2013,122.5,1376180000
6/4/2013,120.74,1357020000
6/5/2013,121.4,1365110000
6/6/2013,121.9,1371300000
6/7/2013,118.97,1338880000
6/8/2013,111,1249630000
6/9/2013,107.89,1215130000
6/10/2013,100.44,1131570000
6/11/2013,106.35,1198640000
6/12/2013,109,1229000000
6/13/2013,108.78,1227030000
6/14/2013,103.95,1173060000
6/15/2013,100,1128950000
6/16/2013,99.8,1127120000
6/17/2013,99.9,1128720000
6/18/2013,101.95,1152250000
6/19/2013,107.05,1210260000
6/20/2013,108.25,1224210000
6/21/2013,111.29,1259000000
6/22/2013,109.5,1239210000
6/23/2013,108.2,1224980000
6/24/2013,107.9,1222030000
6/25/2013,102.09,1156610000
6/26/2013,103.33,1171050000
6/27/2013,104,1179110000
6/28/2013,101.74,1153880000
6/29/2013,94.66,1074010000
6/30/2013,95,1078260000
7/1/2013,97.51,1107130000
7/2/2013,88.05,1000070000
7/3/2013,90.41,1027160000
7/4/2013,78.89,896693000
7/5/2013,79.99,909526000
7/6/2013,68.5,779255000
7/7/2013,68.75,782352000
7/8/2013,76.5,870912000
7/9/2013,76,865585000
7/10/2013,76.72,874138000
