DATE,price,volume
1478080195,725,0.001
1478102724,728.5,0.5
1478102764,726,0.5
1478104047,726.2,0.1
1478104139,726,0.05
1478104195,730,0.04
1478104904,729,0.0005
1478105303,728.2,3
1478106225,729.5,0.0005
1478106739,731,0.5
1478108688,731,0.002
1478109572,731,0.001
1478111142,731,0.2
1478112821,731,0.2
1478112848,732,0.3
1478114477,732,0.22
1478120229,731,0.0003
1478120258,731,0.5
1478120390,736,0.0002
1478120507,731,0.0002
1478125124,735,1
1478126202,739,0.0002
1478126476,735,0.0002
1478126606,739,0.0002
1478126648,735,0.0002
1478126669,739,0.0001
1478128288,739,1.9995
1478128295,741.5,3
1478130501,744,1
1478130658,745,2
1478130661,745,1
1478130668,745,1
1478130672,745,1
1478132536,750,3
1478139693,745,0.11
1478143081,745,0.24
1478144061,744.85,1
1478144902,745,1
1478145087,746,0.36
1478145180,745.12,0.12
1478145723,745.12,1
1478147202,745.12,1
1478148003,745,1.125
1478148467,745,0.275
1478149441,745,1
1478150432,754.9,0.247
1478150437,755,1
1478150444,755,1
1478150444,755.56,1.15
1478150447,755.56,0.69
1478150451,756,2.15
1478151152,757.9,0.005
1478151544,750,0.001
1478152206,750,2
1478152697,757.9,0.002
1478152697,758,1.238
1478153211,751,2.65
1478153946,751,1.35
1478155661,750,0.999
1478156963,749.5,0.22
1478157025,754,5
1478157754,757.2,1
1478157870,749.5,1
1478157893,749.5,1.09
1478157893,749,0.91
1478158420,748,1
1478159359,744.85,0.11
1478159359,744,0.39
1478159503,736,0.34
1478159503,735,0.66
1478159965,746,2.5
1478159965,748,0.5
1478160661,745,1
1478161502,742,1
1478162448,740.6,0.0008
1478162534,740.6,0.1
1478163420,740.6,2.2092
1478163425,738,0.1
1478163936,744.2,1
1478164025,744.2,1.315
1478165978,740,1
1478168745,740,1.156
1478168749,739.2,1.532
1478168752,738,0.9
1478169039,745,1.2
1478170931,745,0.2
1478170935,745,1
1478171168,741.2,0.81
1478171671,745,0.81
1478172097,746.5,0.2266
1478172428,746.8,2.1453
1478172484,741.2,0.25
1478174347,748,0.5
1478175168,746,0.01
1478175180,742,0.0023
1478175585,742,0.01
1478176692,745,0.0122
1478177133,746,0.0421
1478177691,748,0.2257
1478178244,745,0.1458
1478178247,742,0.0122
1478180767,741.2,0.94
1478180770,740,1.1156
1478181948,735,0.5
1478186416,732,0.25
1478187886,725,0.003
1478187910,719,0.25
1478189224,720.25,0.1
1478191923,714.25,0.25
1478194085,718,0.25
1478194148,720.5,0.5
